Filename,Metadata Tags,Description,Permalink
0 Aufmacher Luftbild Kunst cmyk.jpg,Scannsamlung,0 Aufmacher Luftbild Kunst cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/0 Aufmacher Luftbild Kunst cmyk.jpg
0-TT Intro Aufmacher.jpg,Scannsamlung,0-TT Intro Aufmacher,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2014-2/0-TT Intro Aufmacher.tif
0-TT Intro Aufmacher_2.jpg,Scannsamlung,0-TT Intro Aufmacher_2,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2014-2/0-TT Intro Aufmacher_2.tif
0-Wiegand-Haus-Berlin.jpg,Scannsamlung,0-Wiegand-Haus-Berlin,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/DAI allg/DAI Gebäude/0-Wiegand-Haus-Berlin.jpg
01-HMDModell.jpg,Scannsamlung,01-HMDModell,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/01-HMDModell.jpg
01-QMPS-20171207_P_078.jpg,Scannsamlung,01-QMPS-20171207_P_078,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/01-QMPS-20171207_P_078.jpg
0167 cymk.jpg,Scannsamlung,0167 cymk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/0167 cymk.jpg
018-Altregistratur-Aktendurchschuss-groß.jpg,Scannsamlung,018-Altregistratur-Aktendurchschuss-groß,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Bilder Cluster 5/Akten/018-Altregistratur-Aktendurchschuss-groß.JPG
018-Altregistratur-Aktendurchschuss-klein.jpg,Scannsamlung,018-Altregistratur-Aktendurchschuss-klein,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Bilder Cluster 5/Akten/018-Altregistratur-Aktendurchschuss-klein.JPG
019-Altregistratur-Aktendurchschuss-groß.jpg,Scannsamlung,019-Altregistratur-Aktendurchschuss-groß,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Bilder Cluster 5/Akten/019-Altregistratur-Aktendurchschuss-groß.JPG
01_Auge.jpg,Scannsamlung,01_Auge,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/01_Auge.jpg
01_Buto_.jpg,Scannsamlung,01_Buto_,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/01_Buto_.jpg
01_DSC03833 cmyk.jpg,Scannsamlung,01_DSC03833 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/01_DSC03833 cmyk.jpg
01_Hansen_Interview.jpg,Scannsamlung,01_Hansen_Interview,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/01_Hansen_Interview.jpg
01_Kinn.jpg,Scannsamlung,01_Kinn,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/01_Kinn.jpg
01_Meroe-Royal-Baths_D-DAI-Z-MRB_20010100_KB-1834_HU.jpg,Scannsamlung,01_Meroe-Royal-Baths_D-DAI-Z-MRB_20010100_KB-1834_HU,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Meroe-Royal-Baths/01_Meroe-Royal-Baths_D-DAI-Z-MRB_20010100_KB-1834_HU.jpg
01_Ohr.jpg,Scannsamlung,01_Ohr,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/01_Ohr.jpg
01_Satet_Nilometer.jpg,Scannsamlung,01_Satet_Nilometer,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/01_Satet_Nilometer.tif
01_Zentrale_29.10.08.jpg,Scannsamlung,01_Zentrale_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/01_Zentrale_29.10.08.tif
01_iscrizioni-49 ausschnitt cmyk.jpg,Scannsamlung,01_iscrizioni-49 ausschnitt cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2016-2/01_iscrizioni-49 ausschnitt cmyk.jpg
01b_Ohr.jpg,Scannsamlung,01b_Ohr,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/01b_Ohr.jpg
02 Felsbildaufnahme Nambuanga cmyk.jpg,Scannsamlung,02 Felsbildaufnahme Nambuanga cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/39-88 DAI Ausgabe 1.2016 engl. Ordner/Links/02 Felsbildaufnahme Nambuanga cmyk.jpg
02 Nilgott in Philae cmyk.jpg,Scannsamlung,02 Nilgott in Philae cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/02 Nilgott in Philae cmyk.jpg
02 Rekonstruktion des Oxos-Tempels.jpg,Scannsamlung,02 Rekonstruktion des Oxos-Tempels,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2015-1/02 Rekonstruktion des Oxos-Tempels.tif
02-20090223_A_082 PAN.jpg,Scannsamlung,02-20090223_A_082 PAN,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/02-20090223_A_082 PAN.tif
02-QMPS_20151112_A_026.jpg,Scannsamlung,02-QMPS_20151112_A_026,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/02-QMPS_20151112_A_026.jpg
02_Buto_Keramik.jpg,Scannsamlung,02_Buto_Keramik,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/02_Buto_Keramik.jpg
02_D-DAI-ROM-76.862 CMYK.jpg,Scannsamlung,02_D-DAI-ROM-76.862 CMYK,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2016-2/02_D-DAI-ROM-76.862 CMYK.jpg
